Baliza;x (m);WL 1.219 m;WL 2.438 m;WL 4.877 m;WL 7.315 m;WL 8.230 m;WL 9.754 m;WL 12.192 m;Convés Principal;Castelo de Proa;;I;II;III;IV;V
0 FP;0.000;0.759;0.581;0.108;0.000;0.000;0.133;0.879;2.337;4.477;;12.872;14.967;0.000;0.000;0.000
0.5;7.750;1.308;1.432;1.270;1.172;1.245;1.613;2.775;4.483;6.674;;0.911;11.586;15.335;0.000;0.000
1;15.499;1.968;2.438;2.730;2.962;3.140;3.610;4.823;6.518;8.477;;0.378;2.438;12.284;15.888;0.000
1.5;23.249;2.978;3.848;4.626;5.102;5.359;5.886;6.988;8.404;9.934;;0.178;0.787;6.401;12.808;17.066
2;30.998;4.324;5.534;6.575;7.315;7.597;8.093;8.979;9.966;11.011;;0.083;0.368;1.654;7.315;14.167
3;46.497;7.509;8.909;10.173;10.792;10.956;11.195;11.484;11.716;11.944;;0.019;0.089;0.359;1.111;3.810
4;61.996;10.293;11.208;11.830;11.986;12.007;12.033;12.039;12.039;0.000;;0.016;0.048;0.117;0.251;0.851
5;77.495;11.417;11.916;12.039;12.039;12.039;12.039;12.039;12.039;0.000;;0.016;0.048;0.111;0.178;0.279
6;92.994;10.344;11.338;11.983;12.039;12.039;12.039;12.039;12.039;0.000;;0.016;0.048;0.111;0.213;0.835
7;108.493;6.833;8.490;10.627;11.703;11.899;12.033;12.039;12.039;0.000;;0.016;0.048;0.394;1.524;3.708
8;123.992;3.314;4.423;6.788;9.458;10.271;11.246;11.932;12.039;0.000;;0.044;0.517;2.953;5.347;7.630
8.5;131.742;2.207;2.896;4.518;7.306;8.417;9.976;11.389;11.890;0.000;;0.175;1.600;5.264;7.325;9.503
9;139.491;1.445;1.778;2.508;4.677;5.962;7.973;10.252;11.370;0.000;;0.676;4.712;7.461;9.223;11.510
9.5;147.241;0.549;0.568;0.600;1.553;3.057;5.410;8.236;10.001;0.000;;7.074;7.852;9.389;11.271;14.478
10;154.990;0.000;0.000;0.000;0.000;0.000;2.130;4.861;6.826;0.000;;9.093;9.989;12.211;0.000;0.000
10-ft-aft;158.038;0.000;0.000;0.000;0.000;0.000;0.000;2.658;4.553;0.000;;10.598;11.919;0.000;0.000;0.000
;;;;;;;;;;;;Linhas de alto;;;;
